Project_ID,Industry,AI_Use_Case,Model_Type,Monthly_Cost,Annual_Benefit,Accuracy,Latency_ms,Data_Drift,Compliance_Risk,Model_Downtime,User_Adoption,Annual_Cost,ROI_Percent,Governance_Risk_Score,Performance_Score,Risk_Category,ROI_Category,Business_Priority_Score,Business_Priority,AI_Alert,Management_Insight
AI-0012,Retail,Customer Support,Classification,36852,93402,0.781,52.69,0.007,0.414,9.29,0.812,442224,-78.88,34.32,83.36,Low,Negative ROI,48.88,Review,Negative ROI,Financial review required due to negative ROI.
AI-0013,Logistics,Customer Support,NLP,47870,297593,0.85,124.72,0.16,0.698,10.13,0.91,574440,-48.19,53.09,78.96,Medium,Negative ROI,41.71,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0014,Telecom,Recommendation,NLP,57756,358365,0.713,468.98,0.207,0.268,11.66,0.369,693072,-48.29,37.7,48.61,Medium,Negative ROI,35.7,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0015,Healthcare,Predictive Maintenance,Computer Vision,61481,371224,0.854,243.74,0.225,0.999,8.35,0.605,737772,-49.68,65.62,66.24,High,Negative ROI,33.5,Review,Negative ROI | High Governance Risk | High Data Drift,Financial review required due to negative ROI.
AI-0016,Manufacturing,Document Intelligence,Regression,6283,25451,0.943,233.79,0.064,0.175,9.69,0.974,75396,-66.24,25.94,86.42,Low,Negative ROI,52.46,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0017,Logistics,Demand Forecasting,NLP,38691,107178,0.945,26.99,0.26,0.01,0.2,0.884,464292,-76.92,8.58,81.12,Low,Negative ROI,55.82,Monitor,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0018,Logistics,Predictive Maintenance,NLP,6125,454532,0.896,138.75,0.287,0.149,2.43,0.643,73500,518.41,19.37,69.15,Low,High ROI,83.39,Strategic,High Data Drift,Data monitoring and model retraining should be considered.
AI-0019,Healthcare,Predictive Maintenance,Recommendation,72065,476280,0.904,435.82,0.071,0.776,14.77,0.834,864780,-44.92,61.67,75.26,Medium,Negative ROI,37.84,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0020,Manufacturing,Customer Support,Recommendation,31170,345905,0.84,99.02,0.265,0.447,1.14,0.883,374040,-7.52,29.97,73.44,Low,Negative ROI,46.71,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0021,Telecom,Predictive Maintenance,Classification,13438,256562,0.849,219.26,0.029,0.448,10.18,0.544,161256,59.1,38.0,75.3,Medium,Healthy ROI,55.3,Monitor,High Downtime,Project requires management monitoring.
AI-0022,Banking,Document Intelligence,Computer Vision,25095,321014,0.695,26.88,0.017,0.955,2.64,0.925,301140,6.6,47.88,81.59,Medium,Low ROI,45.35,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0023,Manufacturing,Document Intelligence,Classification,21154,378710,0.801,249.6,0.039,0.92,10.75,0.629,253848,49.19,60.49,73.19,Medium,Low ROI,46.08,Review,High Downtime,Project requires management monitoring.
AI-0024,Healthcare,Fraud Detection,Recommendation,13004,405893,0.803,30.09,0.017,0.311,10.59,0.669,156048,160.11,32.16,81.78,Low,High ROI,76.99,Strategic,High Downtime,Project requires management monitoring.
AI-0025,Logistics,Document Intelligence,Regression,14752,143765,0.976,413.41,0.254,0.209,3.51,1.0,177024,-18.79,22.88,73.7,Low,Negative ROI,48.93,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0026,Telecom,Document Intelligence,Recommendation,60426,407025,0.797,415.93,0.018,0.848,4.04,0.89,725112,-43.87,45.43,74.27,Medium,Negative ROI,42.37,Review,Negative ROI,Financial review required due to negative ROI.
AI-0027,Manufacturing,Customer Support,Computer Vision,31819,444089,0.837,398.12,0.081,0.906,9.82,0.553,381828,16.31,59.57,66.92,Medium,Low ROI,38.41,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0028,Banking,Document Intelligence,Recommendation,97051,148389,0.831,156.01,0.031,0.542,5.85,0.307,1164612,-87.26,35.07,71.46,Medium,Negative ROI,44.49,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0029,Banking,Fraud Detection,Computer Vision,29217,209699,0.866,421.87,0.089,0.629,2.92,0.738,350604,-40.19,35.84,70.95,Medium,Negative ROI,44.08,Review,Negative ROI,Financial review required due to negative ROI.
AI-0030,Retail,Demand Forecasting,Computer Vision,93708,217227,0.904,280.64,0.027,0.257,10.98,0.793,1124496,-80.68,30.67,81.29,Low,Negative ROI,49.25,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0031,Retail,Customer Support,Computer Vision,37994,307516,0.727,199.43,0.2,0.801,2.31,0.756,455928,-32.55,45.9,65.49,Medium,Negative ROI,39.15,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0032,Healthcare,Demand Forecasting,Computer Vision,20036,285786,0.83,320.16,0.04,0.632,12.83,0.978,240432,18.86,51.02,79.46,Medium,Low ROI,45.81,Review,High Downtime,Project requires management monitoring.
AI-0033,Manufacturing,Customer Support,Computer Vision,82275,280220,0.931,25.92,0.256,0.504,7.72,0.904,987300,-71.62,43.23,81.05,Medium,Negative ROI,45.4,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0034,Manufacturing,Recommendation,Regression,54416,441217,0.807,88.62,0.245,0.06,1.59,0.614,652992,-32.43,12.7,67.72,Low,Negative ROI,49.89,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0035,Logistics,Predictive Maintenance,Classification,14587,316208,0.745,376.3,0.004,0.916,10.41,0.344,175044,80.64,58.69,62.64,Medium,Healthy ROI,48.43,Review,High Downtime | Low User Adoption,Project requires management monitoring.
AI-0036,Logistics,Recommendation,NLP,5645,245898,0.873,137.2,0.269,0.615,7.79,0.633,67740,263.0,48.73,68.74,Medium,High ROI,74.44,Monitor,High Data Drift,Data monitoring and model retraining should be considered.
AI-0037,Logistics,Document Intelligence,Classification,35930,296266,0.93,307.04,0.009,0.193,4.47,0.782,431160,-31.29,16.4,82.48,Low,Negative ROI,53.95,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0038,Retail,Demand Forecasting,Computer Vision,86835,438036,0.671,204.85,0.072,0.606,6.34,0.725,1042020,-57.96,40.0,68.3,Medium,Negative ROI,41.9,Review,Negative ROI,Financial review required due to negative ROI.
AI-0039,Manufacturing,Document Intelligence,Regression,35090,88431,0.914,430.31,0.01,0.677,4.48,0.677,421080,-79.0,38.23,75.83,Medium,Negative ROI,45.07,Review,Negative ROI,Financial review required due to negative ROI.
AI-0040,Manufacturing,Predictive Maintenance,Recommendation,92489,75745,0.929,477.16,0.101,0.526,3.95,0.628,1109868,-93.18,33.28,69.65,Low,Negative ROI,44.39,Review,Negative ROI,Financial review required due to negative ROI.
AI-0041,Banking,Customer Support,Regression,57142,70081,0.807,444.11,0.154,0.718,2.45,0.506,685704,-89.78,41.01,59.45,Medium,Negative ROI,38.5,Review,Negative ROI | Low AI Performance,Financial review required due to negative ROI.
AI-0042,Retail,Predictive Maintenance,Computer Vision,31475,484118,0.984,149.9,0.239,0.581,5.44,0.494,377700,28.18,42.38,72.63,Medium,Low ROI,47.64,Review,High Data Drift | Low User Adoption,Data monitoring and model retraining should be considered.
AI-0043,Telecom,Fraud Detection,Regression,23888,421927,0.917,113.2,0.101,0.948,3.76,0.65,286656,47.19,51.96,80.4,Medium,Low ROI,50.81,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0044,Retail,Predictive Maintenance,Regression,48732,236204,0.913,247.73,0.212,0.054,10.25,0.412,584784,-59.61,25.87,65.86,Low,Negative ROI,45.29,Review,Negative ROI | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0045,Telecom,Fraud Detection,Computer Vision,86623,432009,0.904,23.52,0.056,0.106,10.26,0.538,1039476,-58.44,23.55,82.45,Low,Negative ROI,51.79,Monitor,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0046,Banking,Predictive Maintenance,Regression,51305,421415,0.701,32.39,0.225,0.174,7.53,0.527,615660,-31.55,27.13,63.37,Low,Negative ROI,44.04,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0047,Healthcare,Fraud Detection,NLP,51037,96253,0.724,285.58,0.071,0.69,11.67,0.711,612444,-84.28,52.63,68.3,Medium,Negative ROI,38.12,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0048,Manufacturing,Demand Forecasting,NLP,14346,318335,0.808,269.82,0.043,0.646,12.62,0.347,172152,84.92,51.39,67.1,Medium,Healthy ROI,52.93,Monitor,High Downtime | Low User Adoption,Project requires management monitoring.
AI-0049,Banking,Document Intelligence,Regression,5587,292355,0.74,497.4,0.056,0.892,8.7,0.881,67044,336.06,56.32,66.9,Medium,High ROI,71.52,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0050,Manufacturing,Document Intelligence,Recommendation,17763,131086,0.791,116.88,0.055,0.733,9.28,0.694,213156,-38.5,50.1,77.17,Medium,Negative ROI,41.98,Review,Negative ROI,Financial review required due to negative ROI.
AI-0051,Logistics,Recommendation,Computer Vision,64165,476285,0.952,143.89,0.154,0.508,4.24,0.77,769980,-38.14,34.55,80.98,Low,Negative ROI,47.98,Review,Negative ROI,Financial review required due to negative ROI.
AI-0052,Healthcare,Document Intelligence,NLP,74615,469962,0.93,74.5,0.253,0.992,13.42,0.792,895380,-47.51,74.6,77.46,High,Negative ROI,34.73,Review,Negative ROI | High Governance Risk | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0053,Healthcare,Customer Support,Recommendation,41116,434758,0.864,460.42,0.024,0.266,0.36,0.504,493392,-11.88,13.29,68.27,Low,Negative ROI,49.91,Review,Negative ROI,Financial review required due to negative ROI.
AI-0054,Banking,Predictive Maintenance,Regression,90751,444528,0.942,393.35,0.212,0.833,5.23,0.629,1089012,-59.18,52.56,67.28,Medium,Negative ROI,37.78,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0055,Healthcare,Recommendation,Recommendation,96353,458458,0.916,414.72,0.196,0.427,10.83,0.969,1156236,-60.35,43.14,72.94,Medium,Negative ROI,42.59,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0056,Telecom,Customer Support,Classification,95301,384115,0.796,453.33,0.262,0.649,1.2,0.837,1143612,-66.41,39.07,59.84,Medium,Negative ROI,39.22,Review,Negative ROI | Low AI Performance | High Data Drift,Financial review required due to negative ROI.
AI-0057,Healthcare,Customer Support,NLP,30556,113783,0.718,271.95,0.073,0.727,2.75,0.979,366672,-68.97,39.49,73.67,Medium,Negative ROI,43.94,Review,Negative ROI,Financial review required due to negative ROI.
AI-0058,Manufacturing,Fraud Detection,Regression,64042,145681,0.825,236.57,0.135,0.634,8.84,0.822,768504,-81.04,47.31,73.84,Medium,Negative ROI,41.65,Review,Negative ROI,Financial review required due to negative ROI.
AI-0059,Manufacturing,Document Intelligence,Computer Vision,23099,107893,0.9,178.59,0.278,0.141,8.4,0.423,277188,-61.08,28.68,64.2,Low,Negative ROI,43.87,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0060,Manufacturing,Demand Forecasting,Regression,50096,468604,0.798,302.82,0.198,0.443,11.08,0.345,601152,-22.05,44.34,57.82,Medium,Negative ROI,36.93,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0061,Manufacturing,Demand Forecasting,Computer Vision,76986,178763,0.877,238.05,0.117,0.561,12.19,0.704,923832,-80.65,49.07,74.94,Medium,Negative ROI,41.51,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0062,Telecom,Recommendation,Regression,18230,97960,0.682,236.75,0.039,0.849,1.93,0.55,218760,-55.22,42.59,66.05,Medium,Negative ROI,40.34,Review,Negative ROI,Financial review required due to negative ROI.
AI-0063,Retail,Demand Forecasting,Recommendation,34009,366532,0.904,469.73,0.079,0.444,0.28,0.493,408108,-10.19,22.82,67.02,Low,Negative ROI,46.61,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0064,Logistics,Predictive Maintenance,Recommendation,75969,42601,0.926,492.34,0.174,0.919,10.34,0.865,911628,-95.33,63.81,70.13,Medium,Negative ROI,35.4,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0065,Banking,Demand Forecasting,Recommendation,38866,431236,0.89,402.31,0.215,0.44,4.52,0.557,466392,-7.54,33.78,62.82,Low,Negative ROI,41.85,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0066,Manufacturing,Recommendation,Classification,89246,159227,0.979,383.24,0.037,0.549,9.39,0.522,1070952,-85.13,41.46,76.04,Medium,Negative ROI,44.18,Review,Negative ROI,Financial review required due to negative ROI.
AI-0067,Healthcare,Demand Forecasting,Computer Vision,81975,220191,0.931,346.67,0.18,0.796,2.26,0.895,983700,-77.62,44.99,75.05,Medium,Negative ROI,42.77,Review,Negative ROI,Financial review required due to negative ROI.
AI-0068,Manufacturing,Predictive Maintenance,Recommendation,46855,494267,0.957,99.72,0.165,0.583,7.04,0.892,562260,-12.09,42.92,84.45,Medium,Negative ROI,46.68,Review,Negative ROI,Financial review required due to negative ROI.
AI-0069,Healthcare,Fraud Detection,Classification,86557,187849,0.967,48.37,0.154,0.96,7.57,0.549,1038684,-81.91,60.44,80.18,Medium,Negative ROI,39.93,Review,Negative ROI,Financial review required due to negative ROI.
AI-0070,Logistics,Recommendation,Computer Vision,11416,301854,0.922,351.55,0.207,0.66,8.78,0.883,136992,120.34,50.54,72.86,Medium,Healthy ROI,61.4,Monitor,High Data Drift,Data monitoring and model retraining should be considered.
AI-0071,Logistics,Fraud Detection,Regression,77516,390858,0.879,369.82,0.251,0.523,7.7,0.896,930192,-57.98,43.9,68.23,Medium,Negative ROI,40.71,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0072,Logistics,Fraud Detection,Classification,60915,175604,0.652,42.55,0.097,0.024,7.44,0.597,730980,-75.98,16.39,68.41,Low,Negative ROI,49.03,Review,Negative ROI,Financial review required due to negative ROI.
AI-0073,Healthcare,Fraud Detection,NLP,23058,148727,0.808,465.46,0.267,0.414,4.99,0.347,276696,-46.25,34.96,50.03,Low,Negative ROI,37.02,Review,Negative ROI | Low AI Performance | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0074,Manufacturing,Customer Support,Classification,81637,431817,0.844,63.75,0.048,0.299,1.07,0.301,979644,-55.92,16.68,73.91,Low,Negative ROI,50.86,Monitor,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0075,Logistics,Document Intelligence,Classification,45718,83227,0.753,157.23,0.052,0.748,1.34,0.666,548616,-84.83,37.45,73.65,Medium,Negative ROI,44.54,Review,Negative ROI,Financial review required due to negative ROI.
AI-0076,Telecom,Customer Support,Computer Vision,37602,156039,0.758,342.75,0.08,0.208,6.51,0.541,451224,-65.42,22.61,64.44,Low,Negative ROI,45.77,Review,Negative ROI,Financial review required due to negative ROI.
AI-0077,Healthcare,Document Intelligence,Regression,79658,104289,0.977,101.54,0.036,0.205,5.34,0.998,955896,-89.09,19.2,93.96,Low,Negative ROI,57.13,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0078,Healthcare,Fraud Detection,NLP,83112,171094,0.953,46.6,0.069,0.19,7.74,0.841,997344,-82.85,23.52,89.62,Low,Negative ROI,54.31,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0079,Manufacturing,Recommendation,Recommendation,63067,456679,0.939,178.95,0.032,0.126,4.57,0.833,756804,-39.66,14.25,86.64,Low,Negative ROI,56.05,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0080,Healthcare,Document Intelligence,Recommendation,32516,225743,0.788,387.67,0.247,0.311,10.32,0.969,390192,-42.15,38.61,64.8,Medium,Negative ROI,41.1,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0081,Healthcare,Predictive Maintenance,Classification,92969,287866,0.655,218.57,0.042,0.886,12.96,0.921,1115628,-74.2,62.73,72.51,Medium,Negative ROI,36.56,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0082,Logistics,Predictive Maintenance,Computer Vision,6089,178485,0.677,333.43,0.224,0.775,4.48,0.523,73068,144.27,49.06,53.11,Medium,Healthy ROI,59.12,Monitor,Low AI Performance | High Data Drift,Model performance optimization is recommended.
AI-0083,Manufacturing,Demand Forecasting,Computer Vision,42346,363194,0.756,298.22,0.014,0.735,2.89,0.416,508152,-28.53,38.31,66.47,Medium,Negative ROI,41.77,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0084,Logistics,Document Intelligence,Recommendation,79663,253820,0.655,30.66,0.285,0.797,1.74,0.822,955956,-73.45,47.32,64.02,Medium,Negative ROI,38.21,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0085,Logistics,Recommendation,NLP,15487,256994,0.656,494.5,0.213,0.269,9.24,0.565,185844,38.28,33.89,48.61,Low,Low ROI,43.55,Review,Low AI Performance | High Data Drift,Model performance optimization is recommended.
AI-0086,Manufacturing,Customer Support,Regression,5155,499083,0.962,39.89,0.002,0.887,6.66,0.631,61860,706.79,51.08,89.42,Medium,High ROI,80.97,Strategic,Healthy,AI project is performing within acceptable business and governance limits.
AI-0087,Banking,Fraud Detection,NLP,72494,365740,0.89,484.55,0.229,0.137,2.82,0.741,869928,-57.96,17.74,63.33,Low,Negative ROI,46.84,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0088,Logistics,Demand Forecasting,Regression,81229,348876,0.755,283.93,0.154,0.336,9.8,0.936,974748,-64.21,36.07,70.25,Medium,Negative ROI,43.77,Review,Negative ROI,Financial review required due to negative ROI.
AI-0089,Telecom,Predictive Maintenance,Recommendation,43547,425513,0.695,482.32,0.234,0.587,2.23,0.593,522564,-18.57,37.15,50.44,Medium,Negative ROI,36.51,Review,Negative ROI | Low AI Performance | High Data Drift,Financial review required due to negative ROI.
AI-0090,Telecom,Customer Support,Regression,33795,88323,0.824,75.08,0.157,0.103,8.31,0.848,405540,-78.22,23.2,78.06,Low,Negative ROI,50.36,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0091,Healthcare,Customer Support,Computer Vision,60296,305960,0.652,255.4,0.192,0.73,7.91,0.488,723552,-57.71,51.79,55.1,Medium,Negative ROI,33.75,Review,Negative ROI | Low AI Performance | Low User Adoption,Financial review required due to negative ROI.
AI-0092,Telecom,Fraud Detection,Classification,26447,60695,0.969,101.36,0.236,0.387,11.01,0.789,317364,-80.88,42.84,79.39,Medium,Negative ROI,44.93,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0093,Healthcare,Document Intelligence,Classification,41598,432918,0.791,44.47,0.122,0.784,0.83,0.301,499176,-13.27,40.32,68.14,Medium,Negative ROI,41.75,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0094,Banking,Predictive Maintenance,Recommendation,46814,438458,0.787,316.41,0.001,0.493,13.32,0.91,561768,-21.95,44.42,78.01,Medium,Negative ROI,43.98,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0095,Manufacturing,Recommendation,Computer Vision,95751,75841,0.783,119.74,0.255,0.181,10.54,0.321,1149012,-93.4,33.36,59.23,Low,Negative ROI,40.72,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0096,Manufacturing,Customer Support,NLP,80330,410642,0.674,302.09,0.114,0.735,3.24,0.799,963960,-57.4,41.9,64.92,Medium,Negative ROI,40.15,Review,Negative ROI,Financial review required due to negative ROI.
AI-0097,Manufacturing,Fraud Detection,Computer Vision,92960,218784,0.867,73.93,0.149,0.252,2.75,0.332,1115520,-80.39,20.39,70.32,Low,Negative ROI,48.49,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0098,Telecom,Recommendation,Classification,68278,498879,0.899,179.35,0.002,0.491,6.47,0.486,819336,-39.11,32.94,79.19,Low,Negative ROI,47.83,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0099,Banking,Document Intelligence,Classification,60077,127096,0.88,395.18,0.148,0.076,12.26,0.648,720924,-82.37,28.29,67.7,Low,Negative ROI,45.21,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0100,Telecom,Predictive Maintenance,Computer Vision,76906,112764,0.697,229.78,0.296,0.618,12.64,0.594,922872,-87.78,57.76,55.04,Medium,Negative ROI,31.94,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0101,Telecom,Document Intelligence,Computer Vision,14528,466790,0.847,321.32,0.083,0.666,7.81,0.434,174336,167.75,45.48,67.24,Medium,High ROI,69.25,Monitor,Low User Adoption,Project requires management monitoring.
AI-0102,Banking,Customer Support,Classification,98812,105744,0.844,330.78,0.119,0.379,12.91,0.534,1185744,-91.08,42.14,67.01,Medium,Negative ROI,40.81,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0103,Banking,Recommendation,NLP,55100,310626,0.945,425.0,0.206,0.954,0.08,0.809,661200,-53.02,49.24,70.38,Medium,Negative ROI,39.86,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0104,Banking,Recommendation,Recommendation,13179,29171,0.779,175.96,0.244,0.874,0.53,0.768,158148,-81.55,47.53,66.83,Medium,Negative ROI,39.13,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0105,Banking,Recommendation,Recommendation,53781,120755,0.776,349.9,0.125,0.708,13.68,0.35,645372,-81.29,58.41,59.05,Medium,Negative ROI,33.14,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0106,Manufacturing,Customer Support,Computer Vision,60267,128125,0.86,481.58,0.093,0.714,11.63,0.823,723204,-82.28,54.3,70.36,Medium,Negative ROI,38.34,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0107,Retail,Customer Support,Recommendation,87379,412866,0.865,370.52,0.281,0.252,6.76,0.337,1048548,-60.62,31.04,54.82,Low,Negative ROI,39.88,Review,Negative ROI | Low AI Performance | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0108,Retail,Document Intelligence,Classification,28952,388226,0.81,255.14,0.203,0.657,11.3,0.68,347424,11.74,54.49,66.3,Medium,Low ROI,38.91,Review,High Data Drift | High Downtime,Data monitoring and model retraining should be considered.
AI-0109,Banking,Demand Forecasting,Classification,58798,23696,0.801,322.74,0.036,0.198,14.33,0.482,705576,-96.64,33.87,68.21,Low,Negative ROI,43.71,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0110,Retail,Document Intelligence,Computer Vision,55939,146310,0.818,375.05,0.021,0.144,11.58,0.711,671268,-78.2,26.41,72.82,Low,Negative ROI,47.56,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0111,Retail,Predictive Maintenance,Computer Vision,34516,433274,0.943,313.89,0.145,0.999,12.64,0.483,414192,4.61,70.37,70.14,High,Low ROI,34.24,Review,High Governance Risk | High Downtime | Low User Adoption,Governance review required before further scaling.
AI-0112,Banking,Fraud Detection,Computer Vision,61526,171385,0.807,28.0,0.066,0.622,11.41,0.989,738312,-76.79,48.99,85.99,Medium,Negative ROI,45.4,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0113,Retail,Recommendation,NLP,15449,301293,0.97,113.49,0.076,0.431,2.52,0.517,185388,62.52,25.87,81.64,Low,Healthy ROI,61.75,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0114,Telecom,Demand Forecasting,Recommendation,55290,412208,0.821,409.02,0.263,0.288,12.5,0.469,663480,-37.87,41.68,55.01,Medium,Negative ROI,36.75,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0115,Healthcare,Fraud Detection,Computer Vision,91661,335665,0.973,150.87,0.027,0.604,2.93,0.495,1099932,-69.48,32.87,82.67,Low,Negative ROI,49.07,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0116,Healthcare,Demand Forecasting,Regression,77954,65740,0.933,371.15,0.215,0.05,13.39,0.928,935448,-92.97,31.02,73.33,Low,Negative ROI,46.36,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0117,Banking,Document Intelligence,Regression,27746,126611,0.773,198.62,0.081,0.095,6.88,0.745,332952,-61.97,18.17,73.54,Low,Negative ROI,50.29,Monitor,Negative ROI,Financial review required due to negative ROI.
