Project_ID,Industry,AI_Use_Case,ROI_Percent,Performance_Score,Governance_Risk_Score,Risk_Category,Business_Priority,AI_Alert,Management_Insight
AI-0041,Banking,Customer Support,-89.78,59.45,41.01,Medium,Review,Negative ROI | Low AI Performance,Financial review required due to negative ROI.
AI-0042,Retail,Predictive Maintenance,28.18,72.63,42.38,Medium,Review,High Data Drift | Low User Adoption,Data monitoring and model retraining should be considered.
AI-0043,Telecom,Fraud Detection,47.19,80.4,51.96,Medium,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0044,Retail,Predictive Maintenance,-59.61,65.86,25.87,Low,Review,Negative ROI | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0045,Telecom,Fraud Detection,-58.44,82.45,23.55,Low,Monitor,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0046,Banking,Predictive Maintenance,-31.55,63.37,27.13,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0047,Healthcare,Fraud Detection,-84.28,68.3,52.63,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0048,Manufacturing,Demand Forecasting,84.92,67.1,51.39,Medium,Monitor,High Downtime | Low User Adoption,Project requires management monitoring.
AI-0049,Banking,Document Intelligence,336.06,66.9,56.32,Medium,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0050,Manufacturing,Document Intelligence,-38.5,77.17,50.1,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0051,Logistics,Recommendation,-38.14,80.98,34.55,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0052,Healthcare,Document Intelligence,-47.51,77.46,74.6,High,Review,Negative ROI | High Governance Risk | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0053,Healthcare,Customer Support,-11.88,68.27,13.29,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0054,Banking,Predictive Maintenance,-59.18,67.28,52.56,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0055,Healthcare,Recommendation,-60.35,72.94,43.14,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0056,Telecom,Customer Support,-66.41,59.84,39.07,Medium,Review,Negative ROI | Low AI Performance | High Data Drift,Financial review required due to negative ROI.
AI-0057,Healthcare,Customer Support,-68.97,73.67,39.49,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0058,Manufacturing,Fraud Detection,-81.04,73.84,47.31,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0059,Manufacturing,Document Intelligence,-61.08,64.2,28.68,Low,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0060,Manufacturing,Demand Forecasting,-22.05,57.82,44.34,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0061,Manufacturing,Demand Forecasting,-80.65,74.94,49.07,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0062,Telecom,Recommendation,-55.22,66.05,42.59,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0063,Retail,Demand Forecasting,-10.19,67.02,22.82,Low,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0064,Logistics,Predictive Maintenance,-95.33,70.13,63.81,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0065,Banking,Demand Forecasting,-7.54,62.82,33.78,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0066,Manufacturing,Recommendation,-85.13,76.04,41.46,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0067,Healthcare,Demand Forecasting,-77.62,75.05,44.99,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0068,Manufacturing,Predictive Maintenance,-12.09,84.45,42.92,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0069,Healthcare,Fraud Detection,-81.91,80.18,60.44,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0070,Logistics,Recommendation,120.34,72.86,50.54,Medium,Monitor,High Data Drift,Data monitoring and model retraining should be considered.
AI-0071,Logistics,Fraud Detection,-57.98,68.23,43.9,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0072,Logistics,Fraud Detection,-75.98,68.41,16.39,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0073,Healthcare,Fraud Detection,-46.25,50.03,34.96,Low,Review,Negative ROI | Low AI Performance | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0074,Manufacturing,Customer Support,-55.92,73.91,16.68,Low,Monitor,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0075,Logistics,Document Intelligence,-84.83,73.65,37.45,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0076,Telecom,Customer Support,-65.42,64.44,22.61,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0077,Healthcare,Document Intelligence,-89.09,93.96,19.2,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0078,Healthcare,Fraud Detection,-82.85,89.62,23.52,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0079,Manufacturing,Recommendation,-39.66,86.64,14.25,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0080,Healthcare,Document Intelligence,-42.15,64.8,38.61,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0081,Healthcare,Predictive Maintenance,-74.2,72.51,62.73,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0082,Logistics,Predictive Maintenance,144.27,53.11,49.06,Medium,Monitor,Low AI Performance | High Data Drift,Model performance optimization is recommended.
AI-0083,Manufacturing,Demand Forecasting,-28.53,66.47,38.31,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0084,Logistics,Document Intelligence,-73.45,64.02,47.32,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0085,Logistics,Recommendation,38.28,48.61,33.89,Low,Review,Low AI Performance | High Data Drift,Model performance optimization is recommended.
AI-0086,Manufacturing,Customer Support,706.79,89.42,51.08,Medium,Strategic,Healthy,AI project is performing within acceptable business and governance limits.
AI-0087,Banking,Fraud Detection,-57.96,63.33,17.74,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0088,Logistics,Demand Forecasting,-64.21,70.25,36.07,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0089,Telecom,Predictive Maintenance,-18.57,50.44,37.15,Medium,Review,Negative ROI | Low AI Performance | High Data Drift,Financial review required due to negative ROI.
AI-0090,Telecom,Customer Support,-78.22,78.06,23.2,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0091,Healthcare,Customer Support,-57.71,55.1,51.79,Medium,Review,Negative ROI | Low AI Performance | Low User Adoption,Financial review required due to negative ROI.
AI-0092,Telecom,Fraud Detection,-80.88,79.39,42.84,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0093,Healthcare,Document Intelligence,-13.27,68.14,40.32,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0094,Banking,Predictive Maintenance,-21.95,78.01,44.42,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0095,Manufacturing,Recommendation,-93.4,59.23,33.36,Low,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0096,Manufacturing,Customer Support,-57.4,64.92,41.9,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0097,Manufacturing,Fraud Detection,-80.39,70.32,20.39,Low,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0098,Telecom,Recommendation,-39.11,79.19,32.94,Low,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0099,Banking,Document Intelligence,-82.37,67.7,28.29,Low,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0100,Telecom,Predictive Maintenance,-87.78,55.04,57.76,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0101,Telecom,Document Intelligence,167.75,67.24,45.48,Medium,Monitor,Low User Adoption,Project requires management monitoring.
AI-0102,Banking,Customer Support,-91.08,67.01,42.14,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0103,Banking,Recommendation,-53.02,70.38,49.24,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0104,Banking,Recommendation,-81.55,66.83,47.53,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0105,Banking,Recommendation,-81.29,59.05,58.41,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0106,Manufacturing,Customer Support,-82.28,70.36,54.3,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0107,Retail,Customer Support,-60.62,54.82,31.04,Low,Review,Negative ROI | Low AI Performance | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0108,Retail,Document Intelligence,11.74,66.3,54.49,Medium,Review,High Data Drift | High Downtime,Data monitoring and model retraining should be considered.
AI-0109,Banking,Demand Forecasting,-96.64,68.21,33.87,Low,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0110,Retail,Document Intelligence,-78.2,72.82,26.41,Low,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0111,Retail,Predictive Maintenance,4.61,70.14,70.37,High,Review,High Governance Risk | High Downtime | Low User Adoption,Governance review required before further scaling.
AI-0112,Banking,Fraud Detection,-76.79,85.99,48.99,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0113,Retail,Recommendation,62.52,81.64,25.87,Low,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0114,Telecom,Demand Forecasting,-37.87,55.01,41.68,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0115,Healthcare,Fraud Detection,-69.48,82.67,32.87,Low,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0116,Healthcare,Demand Forecasting,-92.97,73.33,31.02,Low,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0117,Banking,Document Intelligence,-61.97,73.54,18.17,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0118,Manufacturing,Customer Support,-52.26,73.9,25.24,Low,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0119,Banking,Recommendation,-36.15,70.78,41.4,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0120,Manufacturing,Document Intelligence,-53.2,93.7,29.46,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0121,Healthcare,Fraud Detection,10.82,67.56,14.65,Low,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0122,Banking,Fraud Detection,-62.37,56.64,58.31,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0123,Logistics,Fraud Detection,-8.07,68.26,42.17,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0124,Telecom,Fraud Detection,-45.13,67.64,46.67,Medium,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0125,Retail,Fraud Detection,120.2,63.47,72.87,High,Monitor,High Governance Risk | High Downtime,Governance review required before further scaling.
AI-0126,Manufacturing,Demand Forecasting,-92.42,71.39,56.22,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0127,Logistics,Document Intelligence,-68.84,78.48,57.73,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0128,Retail,Recommendation,-26.88,77.51,50.11,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0129,Retail,Customer Support,-78.66,69.38,47.69,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0130,Banking,Customer Support,-94.56,69.62,47.92,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0131,Retail,Document Intelligence,21.38,49.21,63.96,Medium,Review,Low AI Performance | High Downtime | Low User Adoption,Model performance optimization is recommended.
AI-0132,Telecom,Document Intelligence,36.73,80.56,37.74,Medium,Monitor,High Downtime,Project requires management monitoring.
AI-0133,Logistics,Customer Support,157.38,62.45,39.3,Medium,Monitor,High Data Drift | High Downtime,Data monitoring and model retraining should be considered.
AI-0134,Retail,Customer Support,-14.34,89.12,60.18,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0135,Banking,Demand Forecasting,-14.44,54.39,45.74,Medium,Review,Negative ROI | Low AI Performance | Low User Adoption,Financial review required due to negative ROI.
AI-0136,Telecom,Predictive Maintenance,-37.62,75.28,19.95,Low,Monitor,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0137,Healthcare,Recommendation,-70.63,59.69,30.02,Low,Review,Negative ROI | Low AI Performance | Low User Adoption,Financial review required due to negative ROI.
AI-0138,Logistics,Fraud Detection,-88.47,56.89,42.05,Medium,Review,Negative ROI | Low AI Performance | Low User Adoption,Financial review required due to negative ROI.
AI-0139,Retail,Predictive Maintenance,-84.25,69.04,48.12,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0140,Banking,Document Intelligence,-14.88,63.58,53.71,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0141,Healthcare,Customer Support,-46.62,75.54,57.32,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0142,Healthcare,Predictive Maintenance,-53.5,79.54,33.08,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0143,Manufacturing,Recommendation,96.28,63.17,45.7,Medium,Monitor,High Data Drift,Data monitoring and model retraining should be considered.
AI-0144,Telecom,Document Intelligence,-94.94,74.59,37.94,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0145,Retail,Fraud Detection,-44.73,82.82,36.37,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0146,Banking,Fraud Detection,-70.19,62.32,37.47,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0147,Manufacturing,Recommendation,-38.63,68.48,41.68,Medium,Review,Negative ROI | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0148,Telecom,Recommendation,198.33,65.39,29.15,Low,Strategic,High Data Drift,Data monitoring and model retraining should be considered.
AI-0149,Manufacturing,Customer Support,-78.62,56.81,69.76,High,Review,Negative ROI | High Governance Risk | Low AI Performance | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0150,Logistics,Fraud Detection,-36.12,67.2,18.95,Low,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0151,Telecom,Document Intelligence,3.92,58.7,34.54,Low,Review,Low AI Performance | High Downtime | Low User Adoption,Model performance optimization is recommended.
AI-0152,Telecom,Predictive Maintenance,-92.93,83.48,43.4,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0153,Retail,Document Intelligence,-89.06,64.75,66.74,High,Review,Negative ROI | High Governance Risk | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0154,Telecom,Demand Forecasting,126.97,73.56,34.25,Low,Monitor,High Downtime,Project requires management monitoring.
AI-0155,Manufacturing,Demand Forecasting,-7.17,56.08,39.91,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0156,Telecom,Recommendation,-51.59,83.92,28.01,Low,Monitor,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0157,Retail,Customer Support,-76.8,73.81,52.97,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0158,Retail,Demand Forecasting,-87.15,70.79,20.09,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0159,Logistics,Fraud Detection,-87.36,88.92,24.34,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0160,Manufacturing,Document Intelligence,-83.82,70.78,27.64,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0161,Healthcare,Document Intelligence,102.91,71.48,59.83,Medium,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0162,Healthcare,Recommendation,-63.62,73.29,37.59,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0163,Telecom,Predictive Maintenance,-30.93,74.29,29.77,Low,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0164,Logistics,Recommendation,-78.85,53.29,52.32,Medium,Review,Negative ROI | Low AI Performance | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0165,Banking,Predictive Maintenance,-81.74,82.08,59.87,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0166,Telecom,Recommendation,4.31,74.07,44.02,Medium,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0167,Logistics,Recommendation,-50.15,75.54,68.76,High,Review,Negative ROI | High Governance Risk | High Downtime,Financial review required due to negative ROI.
AI-0168,Manufacturing,Recommendation,-87.47,72.94,48.8,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0169,Manufacturing,Predictive Maintenance,-66.13,70.49,24.11,Low,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0170,Manufacturing,Predictive Maintenance,-46.51,62.3,43.61,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0171,Manufacturing,Recommendation,37.43,83.83,31.06,Low,Monitor,High Downtime,Project requires management monitoring.
AI-0172,Manufacturing,Demand Forecasting,-90.41,68.91,37.41,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0173,Logistics,Customer Support,-49.32,83.55,35.14,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0174,Logistics,Customer Support,-25.29,86.45,33.76,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0175,Retail,Customer Support,69.34,72.82,51.17,Medium,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0176,Healthcare,Predictive Maintenance,-65.15,73.47,17.6,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0177,Manufacturing,Predictive Maintenance,-66.95,73.89,55.79,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0178,Banking,Demand Forecasting,-38.67,83.75,26.85,Low,Monitor,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0179,Logistics,Customer Support,184.51,65.14,26.06,Low,Strategic,High Downtime | Low User Adoption,Project requires management monitoring.
AI-0180,Banking,Customer Support,-70.77,70.62,56.26,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0181,Banking,Recommendation,-52.42,72.54,39.58,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0182,Banking,Predictive Maintenance,-76.43,66.91,55.45,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0183,Retail,Customer Support,-79.45,66.28,33.79,Low,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0184,Logistics,Document Intelligence,-40.55,69.43,47.73,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0185,Banking,Demand Forecasting,-74.13,65.31,41.64,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0186,Manufacturing,Document Intelligence,-71.33,73.54,50.75,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0187,Telecom,Document Intelligence,-60.55,60.05,44.56,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0188,Banking,Demand Forecasting,-46.73,84.61,69.58,High,Review,Negative ROI | High Governance Risk | High Downtime,Financial review required due to negative ROI.
AI-0189,Retail,Document Intelligence,-28.54,49.52,60.96,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0190,Logistics,Customer Support,-48.27,66.73,62.87,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0191,Retail,Predictive Maintenance,-32.57,65.5,58.34,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0192,Banking,Demand Forecasting,114.37,86.51,40.7,Medium,Monitor,Healthy,AI project is performing within acceptable business and governance limits.
AI-0193,Logistics,Recommendation,-74.48,59.5,32.55,Low,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0194,Telecom,Document Intelligence,-30.61,66.34,31.34,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0195,Banking,Demand Forecasting,-56.34,74.79,48.08,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0196,Retail,Fraud Detection,-52.91,65.26,22.49,Low,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0197,Healthcare,Fraud Detection,-4.39,58.97,30.02,Low,Review,Negative ROI | Low AI Performance | High Downtime,Financial review required due to negative ROI.
AI-0198,Manufacturing,Predictive Maintenance,-91.51,63.76,27.39,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0199,Retail,Customer Support,-80.87,70.15,23.28,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0200,Logistics,Predictive Maintenance,-72.33,60.29,54.87,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0201,Banking,Predictive Maintenance,-55.31,67.14,45.26,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0202,Manufacturing,Predictive Maintenance,-91.84,69.78,31.81,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0203,Banking,Predictive Maintenance,-39.73,67.46,28.12,Low,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0204,Logistics,Recommendation,-93.32,70.78,58.94,Medium,Review,Negative ROI | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0205,Banking,Recommendation,-49.09,79.35,37.75,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0206,Healthcare,Demand Forecasting,218.4,57.46,73.75,High,Monitor,High Governance Risk | Low AI Performance | High Data Drift | High Downtime,Governance review required before further scaling.
